
 Lista de Imóveis da Caixa;;Data de geração:;22/04/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 1444423816457 ;BA ;BOM JESUS DA LAPA ;SÃO CONRADO ; VIA LOCAL 11, N. 213, LT 06, QD 21 ;261.298,86;410.000,00;36.27;Sim;Casa, 180.50 de área total, 180.50 de área privativa, 302.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423816457
 8444413624170 ;BA ;BOM JESUS DA LAPA ;SHANGRI-LA ;RUA RORAIMA, N. 383, QD FE, LT 33 ;212.000,00;212.000,00;0.00;Não;Casa, 0.00 de área total, 81.06 de área privativa, 225.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413624170
 8555534658760 ;BA ;CAMACARI ;SUCUPIO ;RUA SUCUPIO, N. SN, Apto 304, BL 04 ;70.452,00;166.000,00;57.56;Não;Apartamento, 0.00 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555534658760
 8787715270072 ;BA ;CAMACARI ;LAGOA BRANCA ;RUA LAGOA BRANCA, N. SN, Apto 4, BL 14 ;67.905,55;160.000,00;57.56;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715270072
 8444407962566 ;BA ;CAMACARI ;LAMA PRETA ;AVENIDA OCTAVIO MANGABEIRA, N. S/N, CS 10 ;77.444,70;160.000,00;51.60;Não;Casa, 50.53 de área total, 50.53 de área privativa, 174.52 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407962566
 8787714042475 ;BA ;CAMACARI ;VILA DE ABRANTES ;RUA DA BELGICA, N. S/N, Apto 001, BL. 04 ;70.891,15;145.000,00;51.11;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714042475
 8787711587381 ;BA ;CAMACARI ;CAJAZEIRAS DE ABRANTES (ABRANTES) ;RUA LAGOA BRANCA, N. SN, Apto 01, BL 10 ;67.948,73;138.000,00;50.77;Não;Apartamento, 80.61 de área total, 40.53 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711587381
 8787705027701 ;BA ;CAMACARI ;AREIAS (ABRANTES) ; RUA LAGOA BRANCA, N. 0, Apto 203, BLOCO 20 ;78.081,61;157.694,56;50.49;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705027701
 8787711454276 ;BA ;CAMACARI ;CAJAZEIRAS DE ABRANTES (ABRANTES) ;RUA LAGOA BRANCA, N. SN, Apto 002, BL 10 ;76.637,10;154.000,00;50.24;Não;Apartamento, 80.61 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711454276
 8555521533131 ;BA ;CAMACARI ;JARDIM LIMOEIRO ;RUA NOVO HORIZONTE, N. SN, Apto 202, BL 04 VG 028 ;73.922,36;147.000,00;49.72;Não;Apartamento, 0.00 de área total, 43.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521533131
 8787709555222 ;BA ;CAMACARI ;CAJAZEIRAS DE ABRANTES (ABRANTES) ;RUA LAGOA BRANCA, N. SN, Apto 001, BL 05 ;73.419,48;146.000,00;49.72;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709555222
 8787706579120 ;BA ;CAMACARI ;BOA UNIAO (ABRANTES) ;RUA COLONIA BOA UNIAO, N. SN, Apto 101,  BL.14 ;73.419,48;146.000,00;49.72;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706579120
 8787706594839 ;BA ;CAMACARI ;BOA UNIAO (ABRANTES) ;RUA COLONIA BOA UNIAO, N. SN, Apto 301,   BL.16 ;72.916,61;145.000,00;49.72;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706594839
 8555505288306 ;BA ;CAMACARI ;VILA DE ABRANTES (ABRANTES) ;RUA NOVA ABRANTES, N. S/N, CASA 02 - 1º ANDAR ;108.426,78;214.500,00;49.46;Não;Casa, 0.00 de área total, 75.38 de área privativa, 631.86 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555505288306
 8787716022099 ;BA ;CAMACARI ;MALICIA (ABRANTES) ;RUA DA BELGICA, N. SN, Apto 301, BL 14 ;91.672,49;180.000,00;49.08;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716022099
 8787704412067 ;BA ;CAMACARI ;LAGOA BRANCA ABRANTE ;RUA LAGOA BRANCA, N. S/N, Apto 301, BL 22 ;78.891,13;154.000,00;48.78;Não;Apartamento, 90.22 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704412067
 8787703680157 ;BA ;CAMACARI ;CAJAZEIRAS DE ABRANTES (ABRANTES) ;RUA LAGOA BRANCA, N. SN, Apto 101, BL 01, LT C, ;75.663,77;147.700,00;48.78;Não;Apartamento, 90.22 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703680157
 8787707176798 ;BA ;CAMACARI ;BOA UNIAO (ABRANTES) ;RUA COLONIA BOA UNIAO, N. SN, Apto 001, BL-08 ;71.841,02;139.000,00;48.32;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 86.63 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707176798
 8787706435501 ;BA ;CAMACARI ;CAJAZEIRAS DE ABRANTES (ABRANTES) ;RUA LAGOA BRANCA, N. SN, Apto 03, BL-05 ;86.367,37;165.000,00;47.66;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706435501
 8555535737338 ;BA ;CAMACARI ;CATU DE ABRANTES (ABRANTES) ;RUA SUCUPIO, N. SN, Apto 401, BL 10 ;83.750,18;160.000,00;47.66;Não;Apartamento, 0.00 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555535737338
 8787705328892 ;BA ;CAMACARI ;ABRANTES ;RUA LAGOA BRANCA, N. S/N, Apto 201, BL 15 LT C ;75.349,08;143.000,00;47.31;Não;Apartamento, 90.22 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705328892
 8787706509815 ;BA ;CAMACARI ;BOA UNIAO (ABRANTES) ;RUA COLONIA BOA UNIAO, N. SN, Apto 103, BL 08 ;74.346,69;138.000,00;46.13;Não;Apartamento, 77.13 de área total, 40.53 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706509815
 8787712149124 ;BA ;CAMACARI ;CAJAZEIRAS DE ABRANTES (ABRANTES) ;RUA LAGOA BRANCA, N. SN, Apto 303, BL 19 ;83.896,01;154.000,00;45.53;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 80.61 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712149124
 8555535552885 ;BA ;CAMACARI ;CATU DE ABRANTES (ABRANTES) ;RUA SUCUPIO, N. SN, Apto 303, BL 01 ;78.992,99;145.000,00;45.53;Não;Apartamento, 72.31 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555535552885
 1444419237928 ;BA ;CAMACARI ;AREMBEPE ABRANTES ;RUA SANTA EFIGENIA, N. SN, SITIO SANTA EFIGENIA ;766.222,74;1.394.300,00;45.05;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 19960.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419237928
 8787705968883 ;BA ;CAMACARI ;CATU DE ABRANTES (ABRANTES) ;RUA COLONIA BOA UNIAO, N. SN, Apto 004, BL 10 ;87.173,75;158.000,00;44.83;Não;Apartamento, 77.13 de área total, 40.53 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705968883
 8787711587314 ;BA ;CAMACARI ;MALICIA (ABRANTES) ;RUA LAGOA BRANCA, N. SN, Apto 202, BL 08 ;84.370,95;151.000,00;44.13;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711587314
 1555516744920 ;BA ;CAMACARI ;PARQUE DAS DUNAS (ABRANTES) ;ALAMEDA DOS CAJUEIROS, N. SN, 06G ;434.899,35;770.000,00;43.52;Não;Terreno, 0.00 de área total, 162.22 de área privativa, 300.00 de área do terreno,  5 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555516744920
 1444406596061 ;BA ;CAMACARI ;JAUA (ABRANTES) ;AVENIDA ATLANTICA, N. 41, . ;440.547,39;780.000,00;43.52;Não;Casa, 0.00 de área total, 223.48 de área privativa, 237.27 de área do terreno,  2 qto(s), varanda, a.serv, WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406596061
 8787702996800 ;BA ;CAMACARI ;CAJAZEIRAS DE ABRANTES (ABRANTES) ;RUA LAGOA BRANCA, N. SN, Apto 304, BL 16 ;85.053,14;149.000,00;42.92;Não;Apartamento, 40.53 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702996800
 8787701710520 ;BA ;CAMACARI ;CATU DE ABRANTES (ABRANTES) ;RUA COLONIA BOA UNIAO, N. SN, Apto 303, BL16 ;71.654,14;125.000,00;42.68;Não;Apartamento, 101.66 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701710520
 1555537358093 ;BA ;CAMACARI ;NOVA ABRANTES (ABRANTES) ;RUA MANGALO, N. 03, LOTE 03 / QUADRA A ;324.074,32;565.000,00;42.65;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 1162.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555537358093
 8787704554015 ;BA ;CAMACARI ;LAGOA BRANCA ABRANTE ;RUA LAGOA BRANCA, N. 0, Apto 303, BL 3 ;91.289,20;158.000,00;42.23;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704554015
 8787714782975 ;BA ;CAMACARI ;VILA DE ABRANTES ;RUA DA BELGICA, N. SN, Apto 103, BL 09 ;92.444,76;160.000,00;42.23;Não;Apartamento, 98.06 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714782975
 8787715889129 ;BA ;CAMACARI ;VILA DE ABRANTES ;RUA DA BELGICA, N. S/N, Apto 202, BL 11 ;95.333,65;165.000,00;42.23;Não;Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715889129
 8787712078332 ;BA ;CAMACARI ;CAJAZEIRAS DE ABRANTES (ABRANTES) ;RUA LAGOA BRANCA, N. SN, Apto 203, BL 23 ;101.689,23;176.000,00;42.23;Não;Apartamento, 40.53 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712078332
 8787703037319 ;BA ;CAMACARI ;INDUSTRIAL ;AVENIDA JORGE AMADO, N. 650, Apto 304, BL 04 ;78.781,14;136.000,00;42.08;Não;Apartamento, 76.78 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703037319
 8787701050687 ;BA ;CAMACARI ;BOA UNIAO (ABRANTES) ;NUCLEO COLONIAL BOA UNIAO, N. SN, Apto 402, BL 12 ;72.988,41;126.000,00;42.08;Não;Apartamento, 101.66 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701050687
 8787709642192 ;BA ;CAMACARI ;BOA UNIAO (ABRANTES) ;RUA COLONIA BOA UNIAO, N. SN, Apto 403, BL 09 ;75.305,50;130.000,00;42.08;Não;Apartamento, 86.63 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709642192
